id,date,r,error
416,2025-05-22,20,0
417,2025-05-22,20,0
418,2025-05-22,20,0
419,2025-05-22,20,0
420,2025-05-22,20,0
421,2025-05-22,20,0
422,2025-05-22,20,0
423,2025-05-22,20,0
424,2025-05-22,20,0
425,2025-05-22,20,0
426,2025-05-22,20,0
427,2025-05-22,20,0
428,2025-05-22,20,0
429,2025-05-22,20,0
430,2025-05-22,20,0
431,2025-05-22,20,0
432,2025-05-22,20,0
433,2025-05-22,20,0
434,2025-05-22,20,0
435,2025-05-22,20,0
436,2025-05-22,20,0
437,2025-05-22,20,0
438,2025-05-22,20,0
439,2025-05-22,20,0
440,2025-05-22,20,0
441,2025-05-22,20,0
442,2025-05-22,20,0
443,2025-05-22,20,0
444,2025-05-22,20,0
445,2025-05-22,20,0
446,2025-05-22,20,0
447,2025-05-22,20,0
448,2025-05-22,20,0
449,2025-05-22,20,0
450,2025-05-22,20,0
451,2025-05-22,20,0
452,2025-05-22,20,0
453,2025-05-22,20,0
454,2025-05-22,20,0
455,2025-05-22,20,0
456,2025-05-22,20,0
457,2025-05-22,20,0
458,2025-05-22,20,0
459,2025-05-22,20,0
460,2025-05-22,20,0
461,2025-05-22,20,0
462,2025-05-22,20,0
463,2025-05-22,20,0
464,2025-05-22,20,0
465,2025-05-22,20,0
466,2025-05-22,20,0
467,2025-05-22,20,0
468,2025-05-22,20,0
469,2025-05-22,20,0
470,2025-05-22,30,0
471,2025-05-22,20,0
472,2025-05-22,20,0
473,2025-05-22,20,0
474,2025-05-22,20,0
475,2025-05-22,20,0
476,2025-05-22,20,0
477,2025-05-22,20,0
478,2025-05-22,20,0
479,2025-05-22,20,0
480,2025-05-22,20,0
481,2025-05-22,20,0
482,2025-05-22,20,0
483,2025-05-22,20,0
484,2025-05-22,10,0
